id;book_id;g_r_book_id;rating_count;text_reviews_count;average_rating;last_updated
1;37454;79654;95071;18343;73199;2019-10-05
2;59865;59685;15601;44583;15599;2019-10-06
3;5808;45924;86617;33370;60111;2019-10-06
4;70807;65088;2058;5641;96990;2019-10-05
5;83244;93855;21233;77;18182;2019-10-05
6;18340;61748;30424;61165;52475;2019-10-06
7;43194;2306;29122;52477;61185;2019-10-05
8;13949;4666;29214;97375;36636;2019-10-06
9;45606;9060;78517;61838;19967;2019-10-05
10;51423;98323;59241;46676;4645;2019-10-05
